City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,64,San Patricio,28.017,-97.5169,78.89,85,88,15.97,US,2022-05-02 02:54:20
65,65,Sheridan,44.8333,-106.9173,48.45,63,100,1.01,US,2022-05-02 02:57:54
66,66,Airai,-8.9266,125.4092,76.14,44,91,5.73,TL,2022-05-02 02:56:02
67,67,West Bay,19.3667,-81.4167,80.67,82,0,5.75,KY,2022-05-02 02:57:54
68,68,Ahipara,-35.1667,173.1667,68.04,61,100,5.46,NZ,2022-05-02 02:57:55
69,69,Barrow,71.2906,-156.7887,21.76,93,100,13.27,US,2022-05-02 02:57:55
70,70,Iqaluit,63.7506,-68.5145,24.53,79,40,3.44,CA,2022-05-02 02:55:22
71,71,Bakchar,57.0186,82.0711,41.7,70,100,4.65,RU,2022-05-02 02:57:56
72,72,Zhangjiakou,40.81,114.8794,67.33,24,4,6.04,CN,2022-05-02 02:57:56
73,73,Fort-Shevchenko,44.5086,50.263,57.9,63,72,25.68,KZ,2022-05-02 02:57:56
74,74,Hithadhoo,-0.6,73.0833,85.14,74,100,17.63,MV,2022-05-02 02:55:03
75,75,Ambilobe,-13.2,49.05,71.65,96,32,3.06,MG,2022-05-02 02:56:37
76,76,Avera,33.194,-82.5271,71.11,77,24,6.24,US,2022-05-02 02:55:52
77,77,Tilichiki,60.4667,166.1,27.64,84,9,2.95,RU,2022-05-02 02:56:24
78,78,Mayo,38.8876,-76.5119,56.95,91,100,6.91,US,2022-05-02 02:57:40
79,79,Bowen,-20.0167,148.2333,79.2,70,46,16.51,AU,2022-05-02 02:57:57
80,80,Lompoc,34.6391,-120.4579,58.57,81,20,10.36,US,2022-05-02 02:57:15
81,81,Bambous Virieux,-20.3428,57.7575,74.21,94,20,3.44,MU,2022-05-02 02:57:58
82,82,Vila Velha,-20.3297,-40.2925,78.75,78,0,8.05,BR,2022-05-02 02:56:43
83,83,Nouadhibou,20.931,-17.0347,64.38,94,2,14.97,MR,2022-05-02 02:54:19
84,84,Kelcyre,40.3131,20.1894,55.96,91,100,4.41,AL,2022-05-02 02:57:58
85,85,Palmer,42.1584,-72.3287,54.32,55,100,4.45,US,2022-05-02 02:57:59
86,86,Punta Arenas,-53.15,-70.9167,35.71,87,0,8.05,CL,2022-05-02 02:57:59
87,87,Rawson,-43.3002,-65.1023,50.32,65,100,11.18,AR,2022-05-02 02:57:59
88,88,Poum,-20.2333,164.0167,78.78,78,22,6.6,NC,2022-05-02 02:58:00
89,89,Itaituba,-4.2761,-55.9836,73.53,99,100,0.98,BR,2022-05-02 02:56:57
90,90,Qaqortoq,60.7167,-46.0333,36.73,89,99,1.25,GL,2022-05-02 02:58:00
91,91,Chokurdakh,70.6333,147.9167,32.29,91,39,11.14,RU,2022-05-02 02:54:39
92,92,Turukhansk,65.8167,87.9833,30.15,94,60,11.16,RU,2022-05-02 02:57:40
93,93,Norman Wells,65.282,-126.8329,53.64,35,40,13.8,CA,2022-05-02 02:55:06
94,94,Severo-Kurilsk,50.6789,156.125,36.37,86,89,7.34,RU,2022-05-02 02:58:01
95,95,Srednekolymsk,67.45,153.6833,34.23,100,100,2.91,RU,2022-05-02 02:59:01
96,96,Kinangan,6.3014,125.585,83.1,74,97,6.4,PH,2022-05-02 02:59:02
97,97,Bethel,41.3712,-73.414,56.77,55,100,3.85,US,2022-05-02 02:59:02
98,98,Kapaa,22.0752,-159.319,82.38,81,100,8.01,US,2022-05-02 02:59:03
99,99,Tecoanapa,16.5167,-98.75,80.6,66,100,5.01,MX,2022-05-02 02:59:03
100,100,Turcianske Teplice,48.8623,18.8605,47.28,86,89,3.27,SK,2022-05-02 02:59:04
101,101,Rio Grande,-32.035,-52.0986,49.95,74,21,10.11,BR,2022-05-02 02:55:37
